stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
22057,057,Cowell Blvd & Sunrise Court,Buses head Eastbound,38.547924,-121.696718,0
22058,058,Cowell Blvd & Sunrise Court,Buses head Westbound,38.54842,-121.696241,0
22059,059,Mace Blvd & Cowell Blvd/Nugget Market,Buses head Southbound,38.549739,-121.694573,0
22060,060,Mace Blvd & Cowell Blvd/Nugget Market,Buses head Northbound,38.549276,-121.694247,0
22061,061,Chiles Rd & Mace Blvd El Macero/Nugget,Buses head Eastbound,38.550766,-121.693476,0
22062,062,El Cemonte Ave & Glide Drive,Buses head Southbound,38.550877,-121.691028,0
22063,063,Cowell Blvd & El Cemonte Ave,Buses head Westbound,38.548964,-121.690089,0
22064,064,Cowell Blvd & Mace Blvd,Buses head Westbound,38.548844,-121.692576,0
22065,065,Alhambra Drive & Mace Blvd,Buses head Westbound,38.558731,-121.697224,0
22066,066,Alhambra Drive & Mace Blvd,Buses head Eastbound,38.558545,-121.696975,0
22067,067,Alhambra Drive & Fifth St,Buses head Eastbound,38.557806,-121.704304,0
22068,068,Fifth St & Verona Terrace,Buses head Southbound,38.556893,-121.705357,0
22069,069,Fifth St & Pelz Bike Path,Buses head Westbound,38.554832,-121.709321,0
22070,070,Fifth St & Windmere Apts.,Buses head Eastbound,38.554599,-121.709777,0
22071,071,Fifth St & San Rafael St,Buses head Westbound,38.552633,-121.716511,0
